symbol,security,sector,industry,index
mmm,3M Company,industrials,industrial conglomerates,SP500
abt,Abbott Laboratories,health care,health care equipment,SP500
abbv,AbbVie Inc.,health care,pharmaceuticals,SP500
abmd,ABIOMED Inc,health care,health care equipment,SP500
acn,Accenture plc,information technology,it consulting & other services,SP500
atvi,Activision Blizzard,communication services,interactive home entertainment,SP500
adbe,Adobe Systems Inc,information technology,application software,SP500
amd,Advanced Micro Devices Inc,information technology,semiconductors,SP500
aap,Advance Auto Parts,consumer discretionary,automotive retail,SP500
aes,AES Corp,utilities,independent power producers & energy traders,SP500
amg,Affiliated Managers Group Inc,financials,asset management & custody banks,SP500
afl,AFLAC Inc,financials,life & health insurance,SP500
a,Agilent Technologies Inc,health care,health care equipment,SP500
apd,Air Products & Chemicals Inc,materials,industrial gases,SP500
akam,Akamai Technologies Inc,information technology,internet services & infrastructure,SP500
alk,Alaska Air Group Inc,industrials,airlines,SP500
alb,Albemarle Corp,materials,specialty chemicals,SP500
are,Alexandria Real Estate Equities,real estate,office reits,SP500
alxn,Alexion Pharmaceuticals,health care,biotechnology,SP500
algn,Align Technology,health care,health care supplies,SP500
alle,Allegion,industrials,building products,SP500
agn,"Allergan, Plc",health care,pharmaceuticals,SP500
ads,Alliance Data Systems,information technology,data processing & outsourced services,SP500
lnt,Alliant Energy Corp,utilities,electric utilities,SP500
all,Allstate Corp,financials,property & casualty insurance,SP500
googl,Alphabet Inc Class A,communication services,interactive media & services,SP500
goog,Alphabet Inc Class C,communication services,interactive media & services,SP500
mo,Altria Group Inc,consumer staples,tobacco,SP500
amzn,Amazon.com Inc.,consumer discretionary,internet & direct marketing retail,SP500
amcr,Amcor plc,materials,paper packaging,SP500
aee,Ameren Corp,utilities,multi-utilities,SP500
aal,American Airlines Group,industrials,airlines,SP500
aep,American Electric Power,utilities,electric utilities,SP500
axp,American Express Co,financials,consumer finance,SP500
aig,American International Group,financials,property & casualty insurance,SP500
amt,American Tower Corp.,real estate,specialized reits,SP500
awk,American Water Works Company Inc,utilities,water utilities,SP500
amp,Ameriprise Financial,financials,asset management & custody banks,SP500
abc,AmerisourceBergen Corp,health care,health care distributors,SP500
ame,AMETEK Inc.,industrials,electrical components & equipment,SP500
amgn,Amgen Inc.,health care,biotechnology,SP500
aph,Amphenol Corp,information technology,electronic components,SP500
adi,"Analog Devices, Inc.",information technology,semiconductors,SP500
anss,ANSYS,information technology,application software,SP500
antm,Anthem,health care,managed health care,SP500
aon,Aon plc,financials,insurance brokers,SP500
aos,A.O. Smith Corp,industrials,building products,SP500
apa,Apache Corporation,energy,oil & gas exploration & production,SP500
aiv,Apartment Investment & Management,real estate,residential reits,SP500
aapl,Apple Inc.,information technology,"technology hardware, storage & peripherals",SP500
amat,Applied Materials Inc.,information technology,semiconductor equipment,SP500
aptv,Aptiv Plc,consumer discretionary,auto parts & equipment,SP500
adm,Archer-Daniels-Midland Co,consumer staples,agricultural products,SP500
arnc,Arconic Inc.,industrials,aerospace & defense,SP500
anet,Arista Networks,information technology,communications equipment,SP500
ajg,Arthur J. Gallagher & Co.,financials,insurance brokers,SP500
aiz,Assurant,financials,multi-line insurance,SP500
ato,Atmos Energy Corp,utilities,gas utilities,SP500
t,AT&T Inc.,communication services,integrated telecommunication services,SP500
adsk,Autodesk Inc.,information technology,application software,SP500
adp,Automatic Data Processing,information technology,internet services & infrastructure,SP500
azo,AutoZone Inc,consumer discretionary,specialty stores,SP500
avb,"AvalonBay Communities, Inc.",real estate,residential reits,SP500
avy,Avery Dennison Corp,materials,paper packaging,SP500
bkr,Baker Hughes Co,energy,oil & gas equipment & services,SP500
bll,Ball Corp,materials,metal & glass containers,SP500
bac,Bank of America Corp,financials,diversified banks,SP500
bk,The Bank of New York Mellon Corp.,financials,asset management & custody banks,SP500
bax,Baxter International Inc.,health care,health care equipment,SP500
bbt,BB&T Corporation,financials,regional banks,SP500
bdx,Becton Dickinson,health care,health care equipment,SP500
brk.b,Berkshire Hathaway,financials,multi-sector holdings,SP500
bby,Best Buy Co. Inc.,consumer discretionary,computer & electronics retail,SP500
biib,Biogen Inc.,health care,biotechnology,SP500
blk,BlackRock,financials,asset management & custody banks,SP500
hrb,Block H&R,consumer discretionary,specialized consumer services,SP500
ba,Boeing Company,industrials,aerospace & defense,SP500
bkng,Booking Holdings Inc,consumer discretionary,internet & direct marketing retail,SP500
bwa,BorgWarner,consumer discretionary,auto parts & equipment,SP500
bxp,Boston Properties,real estate,office reits,SP500
bsx,Boston Scientific,health care,health care equipment,SP500
bmy,Bristol-Myers Squibb,health care,health care distributors,SP500
avgo,Broadcom Inc.,information technology,semiconductors,SP500
br,Broadridge Financial Solutions,information technology,data processing & outsourced services,SP500
bf.b,Brown-Forman Corp.,consumer staples,distillers & vintners,SP500
chrw,C. H. Robinson Worldwide,industrials,air freight & logistics,SP500
cog,Cabot Oil & Gas,energy,oil & gas exploration & production,SP500
cdns,Cadence Design Systems,information technology,application software,SP500
cpb,Campbell Soup,consumer staples,packaged foods & meats,SP500
cof,Capital One Financial,financials,consumer finance,SP500
cpri,Capri Holdings,consumer discretionary,"apparel, accessories & luxury goods",SP500
cah,Cardinal Health Inc.,health care,health care distributors,SP500
kmx,Carmax Inc,consumer discretionary,specialty stores,SP500
ccl,Carnival Corp.,consumer discretionary,"hotels, resorts & cruise lines",SP500
cat,Caterpillar Inc.,industrials,construction machinery & heavy trucks,SP500
cboe,Cboe Global Markets,financials,financial exchanges & data,SP500
cbre,CBRE Group,real estate,real estate services,SP500
cbs,CBS Corp.,communication services,broadcasting,SP500
cdw,CDW,information technology,technology distributors,SP500
ce,Celanese,materials,specialty chemicals,SP500
celg,Celgene Corp.,health care,biotechnology,SP500
cnc,Centene Corporation,health care,managed health care,SP500
cnp,CenterPoint Energy,utilities,multi-utilities,SP500
ctl,CenturyLink Inc,communication services,integrated telecommunication services,SP500
cern,Cerner,health care,health care technology,SP500
cf,CF Industries Holdings Inc,materials,fertilizers & agricultural chemicals,SP500
schw,Charles Schwab Corporation,financials,investment banking & brokerage,SP500
chtr,Charter Communications,communication services,cable & satellite,SP500
cvx,Chevron Corp.,energy,integrated oil & gas,SP500
cmg,Chipotle Mexican Grill,consumer discretionary,restaurants,SP500
cb,Chubb Limited,financials,property & casualty insurance,SP500
chd,Church & Dwight,consumer staples,household products,SP500
ci,CIGNA Corp.,health care,managed health care,SP500
xec,Cimarex Energy,energy,oil & gas exploration & production,SP500
cinf,Cincinnati Financial,financials,property & casualty insurance,SP500
ctas,Cintas Corporation,industrials,diversified support services,SP500
csco,Cisco Systems,information technology,communications equipment,SP500
c,Citigroup Inc.,financials,diversified banks,SP500
cfg,Citizens Financial Group,financials,regional banks,SP500
ctxs,Citrix Systems,information technology,application software,SP500
clx,The Clorox Company,consumer staples,household products,SP500
cme,CME Group Inc.,financials,financial exchanges & data,SP500
cms,CMS Energy,utilities,multi-utilities,SP500
ko,Coca-Cola Company,consumer staples,soft drinks,SP500
ctsh,Cognizant Technology Solutions,information technology,it consulting & other services,SP500
cl,Colgate-Palmolive,consumer staples,household products,SP500
cmcsa,Comcast Corp.,communication services,cable & satellite,SP500
cma,Comerica Inc.,financials,diversified banks,SP500
cag,Conagra Brands,consumer staples,packaged foods & meats,SP500
cxo,Concho Resources,energy,oil & gas exploration & production,SP500
cop,ConocoPhillips,energy,oil & gas exploration & production,SP500
ed,Consolidated Edison,utilities,electric utilities,SP500
stz,Constellation Brands,consumer staples,distillers & vintners,SP500
coo,The Cooper Companies,health care,health care supplies,SP500
cprt,Copart Inc,industrials,diversified support services,SP500
glw,Corning Inc.,information technology,electronic components,SP500
ctva,Corteva,materials,fertilizers & agricultural chemicals,SP500
cost,Costco Wholesale Corp.,consumer staples,hypermarkets & super centers,SP500
coty,"Coty, Inc",consumer staples,personal products,SP500
cci,Crown Castle International Corp.,real estate,specialized reits,SP500
csx,CSX Corp.,industrials,railroads,SP500
cmi,Cummins Inc.,industrials,industrial machinery,SP500
cvs,CVS Health,health care,health care services,SP500
dhi,D. R. Horton,consumer discretionary,homebuilding,SP500
dhr,Danaher Corp.,health care,health care equipment,SP500
dri,Darden Restaurants,consumer discretionary,restaurants,SP500
dva,DaVita Inc.,health care,health care facilities,SP500
de,Deere & Co.,industrials,agricultural & farm machinery,SP500
dal,Delta Air Lines Inc.,industrials,airlines,SP500
xray,Dentsply Sirona,health care,health care supplies,SP500
dvn,Devon Energy,energy,oil & gas exploration & production,SP500
fang,Diamondback Energy,energy,oil & gas exploration & production,SP500
dlr,Digital Realty Trust Inc,real estate,specialized reits,SP500
dfs,Discover Financial Services,financials,consumer finance,SP500
disca,Discovery Inc. Class A,communication services,broadcasting,SP500
disck,Discovery Inc. Class C,communication services,broadcasting,SP500
dish,Dish Network,communication services,cable & satellite,SP500
dg,Dollar General,consumer discretionary,general merchandise stores,SP500
dltr,Dollar Tree,consumer discretionary,general merchandise stores,SP500
d,Dominion Energy,utilities,electric utilities,SP500
dov,Dover Corp.,industrials,industrial machinery,SP500
dow,Dow Inc.,materials,commodity chemicals,SP500
dte,DTE Energy Co.,utilities,multi-utilities,SP500
duk,Duke Energy,utilities,electric utilities,SP500
dre,Duke Realty Corp,real estate,industrial reits,SP500
dd,DuPont de Nemours Inc,materials,specialty chemicals,SP500
dxc,DXC Technology,information technology,it consulting & other services,SP500
etfc,E*Trade,financials,investment banking & brokerage,SP500
emn,Eastman Chemical,materials,diversified chemicals,SP500
etn,Eaton Corporation,industrials,electrical components & equipment,SP500
ebay,eBay Inc.,consumer discretionary,internet & direct marketing retail,SP500
ecl,Ecolab Inc.,materials,specialty chemicals,SP500
eix,Edison Int'l,utilities,electric utilities,SP500
ew,Edwards Lifesciences,health care,health care equipment,SP500
ea,Electronic Arts,communication services,interactive home entertainment,SP500
emr,Emerson Electric Company,industrials,electrical components & equipment,SP500
etr,Entergy Corp.,utilities,electric utilities,SP500
eog,EOG Resources,energy,oil & gas exploration & production,SP500
efx,Equifax Inc.,industrials,research & consulting services,SP500
eqix,Equinix,real estate,specialized reits,SP500
eqr,Equity Residential,real estate,residential reits,SP500
ess,"Essex Property Trust, Inc.",real estate,residential reits,SP500
el,Estee Lauder Cos.,consumer staples,personal products,SP500
evrg,Evergy,utilities,electric utilities,SP500
es,Eversource Energy,utilities,multi-utilities,SP500
re,Everest Re Group Ltd.,financials,reinsurance,SP500
exc,Exelon Corp.,utilities,multi-utilities,SP500
expe,Expedia Group,consumer discretionary,internet & direct marketing retail,SP500
expd,Expeditors,industrials,air freight & logistics,SP500
exr,Extra Space Storage,real estate,specialized reits,SP500
xom,Exxon Mobil Corp.,energy,integrated oil & gas,SP500
ffiv,F5 Networks,information technology,communications equipment,SP500
fb,"Facebook, Inc.",communication services,interactive media & services,SP500
fast,Fastenal Co,industrials,building products,SP500
frt,Federal Realty Investment Trust,real estate,retail reits,SP500
fdx,FedEx Corporation,industrials,air freight & logistics,SP500
fis,Fidelity National Information Services,information technology,data processing & outsourced services,SP500
fitb,Fifth Third Bancorp,financials,regional banks,SP500
fe,FirstEnergy Corp,utilities,electric utilities,SP500
frc,First Republic Bank,financials,regional banks,SP500
fisv,Fiserv Inc,information technology,data processing & outsourced services,SP500
flt,FleetCor Technologies Inc,information technology,data processing & outsourced services,SP500
flir,FLIR Systems,information technology,electronic equipment & instruments,SP500
fls,Flowserve Corporation,industrials,industrial machinery,SP500
fmc,FMC Corporation,materials,fertilizers & agricultural chemicals,SP500
f,Ford Motor,consumer discretionary,automobile manufacturers,SP500
ftnt,Fortinet,information technology,systems software,SP500
ftv,Fortive Corp,industrials,industrial machinery,SP500
fbhs,Fortune Brands Home & Security,industrials,building products,SP500
foxa,Fox Corporation Class A,communication services,movies & entertainment,SP500
fox,Fox Corporation Class B,communication services,movies & entertainment,SP500
ben,Franklin Resources,financials,asset management & custody banks,SP500
fcx,Freeport-McMoRan Inc.,materials,copper,SP500
gps,Gap Inc.,consumer discretionary,apparel retail,SP500
grmn,Garmin Ltd.,consumer discretionary,consumer electronics,SP500
it,Gartner Inc,information technology,it consulting & other services,SP500
gd,General Dynamics,industrials,aerospace & defense,SP500
ge,General Electric,industrials,industrial conglomerates,SP500
gis,General Mills,consumer staples,packaged foods & meats,SP500
gm,General Motors,consumer discretionary,automobile manufacturers,SP500
gpc,Genuine Parts,consumer discretionary,specialty stores,SP500
gild,Gilead Sciences,health care,biotechnology,SP500
gl,Globe Life Inc.,financials,life & health insurance,SP500
gpn,Global Payments Inc.,information technology,data processing & outsourced services,SP500
gs,Goldman Sachs Group,financials,investment banking & brokerage,SP500
gww,Grainger (W.W.) Inc.,industrials,industrial machinery,SP500
hal,Halliburton Co.,energy,oil & gas equipment & services,SP500
hbi,Hanesbrands Inc,consumer discretionary,"apparel, accessories & luxury goods",SP500
hog,Harley-Davidson,consumer discretionary,motorcycle manufacturers,SP500
hig,Hartford Financial Svc.Gp.,financials,property & casualty insurance,SP500
has,Hasbro Inc.,consumer discretionary,leisure products,SP500
hca,HCA Healthcare,health care,health care facilities,SP500
hcp,HCP Inc.,real estate,health care reits,SP500
hp,Helmerich & Payne,energy,oil & gas drilling,SP500
hsic,Henry Schein,health care,health care distributors,SP500
hsy,The Hershey Company,consumer staples,packaged foods & meats,SP500
hes,Hess Corporation,energy,integrated oil & gas,SP500
hpe,Hewlett Packard Enterprise,information technology,"technology hardware, storage & peripherals",SP500
hlt,Hilton Worldwide Holdings Inc,consumer discretionary,"hotels, resorts & cruise lines",SP500
hfc,HollyFrontier Corp,energy,oil & gas refining & marketing,SP500
holx,Hologic,health care,health care equipment,SP500
hd,Home Depot,consumer discretionary,home improvement retail,SP500
hon,Honeywell Int'l Inc.,industrials,industrial conglomerates,SP500
hrl,Hormel Foods Corp.,consumer staples,packaged foods & meats,SP500
hst,Host Hotels & Resorts,real estate,hotel & resort reits,SP500
hpq,HP Inc.,information technology,"technology hardware, storage & peripherals",SP500
hum,Humana Inc.,health care,managed health care,SP500
hban,Huntington Bancshares,financials,regional banks,SP500
hii,Huntington Ingalls Industries,industrials,aerospace & defense,SP500
iex,IDEX Corporation,industrials,industrial machinery,SP500
idxx,IDEXX Laboratories,health care,health care equipment,SP500
